batch	id	coverage_targets	type	text	source	reading_evidence	linguistic	naturalness	user_burden	safety	license	product	review_notes	reviewed_by	reviewed_at
2	sentence-authored-cuan4-002	cuan4	short_sentence	这份文件禁止篡改	VoxFlame authored candidate	篡改 [cuan4 gai3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	word-cuan4-篡改	cuan4	word	篡改	CC-CEDICT	篡改 [cuan4 gai3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	sentence-authored-cuo1-001	cuo1	short_sentence	大家一起切磋技艺	VoxFlame authored candidate	切磋 [qie1 cuo1] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	sentence-authored-cuo1-002	cuo1	short_sentence	同学们课后切磋球技	VoxFlame authored candidate	切磋 [qie1 cuo1] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	word-cuo1-切磋	cuo1	word	切磋	CC-CEDICT	切磋 [qie1 cuo1] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	sentence-authored-dai3-001	dai3	short_sentence	好歹先吃点东西	VoxFlame authored candidate	好歹 [hao3 dai3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	sentence-authored-dai3-002	dai3	short_sentence	我们好歹赶上了车	VoxFlame authored candidate	好歹 [hao3 dai3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	word-dai3-好歹	dai3	word	好歹	CC-CEDICT	好歹 [hao3 dai3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	sentence-authored-duo4-001	duo4	short_sentence	船长正在掌舵	VoxFlame authored candidate	掌舵 [zhang3 duo4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	sentence-authored-duo4-002	duo4	short_sentence	今天由他负责掌舵	VoxFlame authored candidate	掌舵 [zhang3 duo4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	word-duo4-掌舵	duo4	word	掌舵	CC-CEDICT	掌舵 [zhang3 duo4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	sentence-authored-e1-001	e1	short_sentence	这盒阿胶已经开封	VoxFlame authored candidate	阿胶 [e1 jiao1] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	sentence-authored-e1-002	e1	short_sentence	阿胶需要密封保存	VoxFlame authored candidate	阿胶 [e1 jiao1] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	word-e1-阿胶	e1	word	阿胶	CC-CEDICT	阿胶 [e1 jiao1] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	sentence-authored-fei3-001	fei3	short_sentence	这台设备价格不菲	VoxFlame authored candidate	不菲 [bu4 fei3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	sentence-authored-fei3-002	fei3	short_sentence	那枚戒指镶着翡翠	VoxFlame authored candidate	翡翠 [fei3 cui4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	word-fei3-不菲	fei3	word	不菲	CC-CEDICT	不菲 [bu4 fei3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	sentence-authored-ga1-001	ga1	short_sentence	今晚我们吃咖喱饭	VoxFlame authored candidate	咖喱 [ga1 li2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	sentence-authored-ga1-002	ga1	short_sentence	咖喱汤还在加热	VoxFlame authored candidate	咖喱 [ga1 li2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
2	word-ga1-咖喱	ga1	word	咖喱	CC-CEDICT	咖喱 [ga1 li2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	sentence-authored-ga2-001	ga2	short_sentence	我买了一盒牛轧糖	VoxFlame authored candidate	牛轧糖 [niu2 ga2 tang2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	sentence-authored-ga2-002	ga2	short_sentence	这块牛轧糖有点硬	VoxFlame authored candidate	牛轧糖 [niu2 ga2 tang2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	word-ga2-牛轧糖	ga2	word	牛轧糖	CC-CEDICT	牛轧糖 [niu2 ga2 tang2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	sentence-authored-gong3-001	gong3	short_sentence	院子里有一座拱门	VoxFlame authored candidate	拱门 [gong3 men2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	sentence-authored-gong3-002	gong3	short_sentence	我们从石拱门下经过	VoxFlame authored candidate	拱门 [gong3 men2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	word-gong3-巩固	gong3	word	巩固	CC-CEDICT	巩固 [gong3 gu4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	sentence-380719	gua3	short_sentence	他观察入微,但沉默寡言。	Tatoeba	寡言 [gua3 yan2] (CC-CEDICT whole-word reading) | 沉默寡言 [chen2 mo4 gua3 yan2] (CC-CEDICT whole-word reading)	pending	pending	pending	pending	pending	pending			
3	sentence-6111937	gua3	short_sentence	林肯本人是沉默寡言的。	Tatoeba	寡言 [gua3 yan2] (CC-CEDICT whole-word reading) | 沉默寡言 [chen2 mo4 gua3 yan2] (CC-CEDICT whole-word reading)	pending	pending	pending	pending	pending	pending			
3	word-gua3-寡言	gua3	word	寡言	CC-CEDICT	寡言 [gua3 yan2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	sentence-1584111	gun4	short_sentence	两个棍棒相互摩擦能起火。	Tatoeba	棍棒 [gun4 bang4] (CC-CEDICT whole-word reading)	pending	pending	pending	pending	pending	pending			
3	sentence-2250635	gun4	short_sentence	曲棍球在中国不是很流行。	Tatoeba	曲棍 [qu1 gun4] (CC-CEDICT whole-word reading) | 曲棍球 [qu1 gun4 qiu2] (CC-CEDICT whole-word reading)	pending	pending	pending	pending	pending	pending			
3	word-gun4-棍子	gun4	word	棍子	CC-CEDICT	棍子 [gun4 zi5] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	sentence-authored-ha2-001	ha2	short_sentence	池塘边蹲着一只蛤蟆	VoxFlame authored candidate	蛤蟆 [ha2 ma5] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	sentence-authored-ha2-002	ha2	short_sentence	雨后蛤蟆叫得很响	VoxFlame authored candidate	蛤蟆 [ha2 ma5] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	word-ha2-癞蛤蟆	ha2	word	癞蛤蟆	CC-CEDICT	癞蛤蟆 [lai4 ha2 ma5] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	sentence-3338901	han1	short_sentence	他的鼾声吵得我不能入睡。	Tatoeba	鼾声 [han1 sheng1] (CC-CEDICT whole-word reading)	pending	pending	pending	pending	pending	pending			
3	sentence-authored-han1-001	han1	short_sentence	他的鼾声有点响	VoxFlame authored candidate	鼾声 [han1 sheng1] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	word-han1-打鼾	han1	word	打鼾	CC-CEDICT	打鼾 [da3 han1] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	sentence-1505020	hao1	short_sentence	我得好好儿地学习	Tatoeba	好好儿 [hao3 hao1 r5] (CC-CEDICT whole-word reading)	pending	pending	pending	pending	pending	pending			
3	sentence-authored-hao1-001	hao1	short_sentence	你在家好好儿休息	VoxFlame authored candidate	好好儿 [hao3 hao1 r5] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	word-hao1-好好儿	hao1	word	好好儿	CC-CEDICT	好好儿 [hao3 hao1 r5] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	sentence-authored-hong3-001	hong3	short_sentence	家人正在耐心哄劝他	VoxFlame authored candidate	哄劝 [hong3 quan4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	sentence-authored-hong3-002	hong3	short_sentence	老师轻声哄劝孩子	VoxFlame authored candidate	哄劝 [hong3 quan4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	word-hong3-哄劝	hong3	word	哄劝	CC-CEDICT	哄劝 [hong3 quan4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	sentence-authored-hong4-001	hong4	short_sentence	他们别再起哄了	VoxFlame authored candidate	起哄 [qi3 hong4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	sentence-authored-hong4-002	hong4	short_sentence	观众席上有人起哄	VoxFlame authored candidate	起哄 [qi3 hong4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	word-hong4-起哄	hong4	word	起哄	CC-CEDICT	起哄 [qi3 hong4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	sentence-authored-hou3-001	hou3	short_sentence	远处传来一阵吼声	VoxFlame authored candidate	吼声 [hou3 sheng1] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	sentence-authored-hou3-002	hou3	short_sentence	走廊里突然传来吼声	VoxFlame authored candidate	吼声 [hou3 sheng1] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
3	word-hou3-吼声	hou3	word	吼声	CC-CEDICT	吼声 [hou3 sheng1] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	sentence-343998	jia2	short_sentence	她的脸颊冷得像冰一样。	Tatoeba	脸颊 [lian3 jia2] (CC-CEDICT whole-word reading)	pending	pending	pending	pending	pending	pending			
4	word-jia2-脸颊	jia2	word	脸颊	CC-CEDICT	脸颊 [lian3 jia2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	sentence-10280146	kua3	short_sentence	我们到家的时候都累垮了。	Tatoeba	累垮 [lei4 kua3] (CC-CEDICT whole-word reading)	pending	pending	pending	pending	pending	pending			
4	sentence-authored-kua3-001	kua3	short_sentence	大雨冲垮了旧木桥	VoxFlame authored candidate	冲垮 [chong1 kua3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	word-kua3-冲垮	kua3	word	冲垮	CC-CEDICT	冲垮 [chong1 kua3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	sentence-authored-kui3-001	kui3	short_sentence	孩子在看傀儡戏	VoxFlame authored candidate	傀儡 [kui3 lei3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	sentence-authored-kui3-002	kui3	short_sentence	台上摆着一个傀儡	VoxFlame authored candidate	傀儡 [kui3 lei3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	word-kui3-傀儡	kui3	word	傀儡	CC-CEDICT	傀儡 [kui3 lei3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	sentence-authored-kun3-001	kun3	short_sentence	请把纸箱捆绑牢固	VoxFlame authored candidate	捆绑 [kun3 bang3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	sentence-authored-kun3-002	kun3	short_sentence	这些电线需要捆绑整理	VoxFlame authored candidate	捆绑 [kun3 bang3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	word-kun3-捆绑	kun3	word	捆绑	CC-CEDICT	捆绑 [kun3 bang3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	sentence-authored-la3-001	la3	short_sentence	请把喇叭声音调低	VoxFlame authored candidate	喇叭 [la3 ba5] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	sentence-authored-la3-002	la3	short_sentence	门口传来喇叭声	VoxFlame authored candidate	喇叭 [la3 ba5] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	word-la3-喇叭	la3	word	喇叭	CC-CEDICT	喇叭 [la3 ba5] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	sentence-346835	lao4	short_sentence	比起奶酪,我更喜欢黄油。	Tatoeba	奶酪 [nai3 lao4] (CC-CEDICT whole-word reading)	pending	pending	pending	pending	pending	pending			
4	sentence-414151	lao4	short_sentence	想吃一点巧克力奶酪吗?	Tatoeba	奶酪 [nai3 lao4] (CC-CEDICT whole-word reading)	pending	pending	pending	pending	pending	pending			
4	word-lao4-奶酪	lao4	word	奶酪	CC-CEDICT	奶酪 [nai3 lao4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	sentence-authored-lei1-001	lei1	short_sentence	请把绳子勒紧一点	VoxFlame authored candidate	勒紧 [lei1 jin3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	sentence-authored-lei1-002	lei1	short_sentence	把袋口勒紧一点	VoxFlame authored candidate	勒紧 [lei1 jin3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	word-lei1-勒紧	lei1	word	勒紧	CC-CEDICT	勒紧 [lei1 jin3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	sentence-authored-lin1-001	lin1	short_sentence	请把袋子拎起来	VoxFlame authored candidate	拎起 [lin1 qi3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	sentence-authored-lin1-002	lin1	short_sentence	把书包轻轻拎起	VoxFlame authored candidate	拎起 [lin1 qi3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	word-lin1-拎起	lin1	word	拎起	CC-CEDICT	拎起 [lin1 qi3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	sentence-1102436	lu0	short_sentence	老婆打呼噜,我该怎么办?	Tatoeba	打呼噜 [da3 hu1 lu5] (CC-CEDICT whole-word reading)	pending	pending	pending	pending	pending	pending			
4	sentence-6940192	lu0	short_sentence	西葫芦是绿色的。	Tatoeba	葫芦 [hu2 lu5] (CC-CEDICT whole-word reading) | 西葫芦 [xi1 hu2 lu5] (CC-CEDICT whole-word reading)	pending	pending	pending	pending	pending	pending			
4	word-lu0-葫芦	lu0	word	葫芦	CC-CEDICT	葫芦 [hu2 lu5] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	sentence-authored-luan3-001	luan3	short_sentence	院子里铺着鹅卵石	VoxFlame authored candidate	鹅卵石 [e2 luan3 shi2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	sentence-authored-luan3-002	luan3	short_sentence	我捡起一块鹅卵石	VoxFlame authored candidate	鹅卵石 [e2 luan3 shi2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	word-luan3-鹅卵石	luan3	word	鹅卵石	CC-CEDICT	鹅卵石 [e2 luan3 shi2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
4	sentence-authored-luo1-001	luo1	short_sentence	请别反复啰嗦	VoxFlame authored candidate	啰嗦 [luo1 suo5] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	sentence-authored-luo1-002	luo1	short_sentence	这段说明太啰嗦	VoxFlame authored candidate	啰嗦 [luo1 suo5] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	word-luo1-啰唆	luo1	word	啰唆	CC-CEDICT	啰唆 [luo1 suo5] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	sentence-2757108	luo3	short_sentence	那颗星星可以用裸眼看到。	Tatoeba	裸眼 [luo3 yan3] (CC-CEDICT whole-word reading)	pending	pending	pending	pending	pending	pending			
5	sentence-authored-luo3-001	luo3	short_sentence	这幅画用裸眼就能看清	VoxFlame authored candidate	裸眼 [luo3 yan3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	word-luo3-裸眼	luo3	word	裸眼	CC-CEDICT	裸眼 [luo3 yan3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	sentence-authored-mang3-001	mang3	short_sentence	请别做出鲁莽决定	VoxFlame authored candidate	鲁莽 [lu3 mang3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	sentence-authored-mang3-002	mang3	short_sentence	动物园里有一条蟒蛇	VoxFlame authored candidate	蟒蛇 [mang3 she2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	word-mang3-蟒蛇	mang3	word	蟒蛇	CC-CEDICT	蟒蛇 [mang3 she2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	sentence-authored-men4-001	men4	short_sentence	房间里的空气有些沉闷	VoxFlame authored candidate	沉闷 [chen2 men4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	sentence-authored-men4-002	men4	short_sentence	今天的天气有点沉闷	VoxFlame authored candidate	沉闷 [chen2 men4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	word-men4-沉闷	men4	word	沉闷	CC-CEDICT	沉闷 [chen2 men4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	sentence-347415	nei3	short_sentence	别气馁,继续写作吧。	Tatoeba	气馁 [qi4 nei3] (CC-CEDICT whole-word reading)	pending	pending	pending	pending	pending	pending			
5	sentence-authored-nei3-001	nei3	short_sentence	遇到困难不要气馁	VoxFlame authored candidate	气馁 [qi4 nei3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	word-nei3-气馁	nei3	word	气馁	CC-CEDICT	气馁 [qi4 nei3] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	sentence-authored-niang4-001	niang4	short_sentence	这个计划仍在酝酿	VoxFlame authored candidate	酝酿 [yun4 niang4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	sentence-authored-niang4-002	niang4	short_sentence	团队正在酝酿新方案	VoxFlame authored candidate	酝酿 [yun4 niang4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	word-niang4-酝酿	niang4	word	酝酿	CC-CEDICT	酝酿 [yun4 niang4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	sentence-authored-nie1-001	nie1	short_sentence	两块黏土可以捏合	VoxFlame authored candidate	捏合 [nie1 he2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	sentence-authored-nie1-002	nie1	short_sentence	请把两块黏土捏合	VoxFlame authored candidate	捏合 [nie1 he2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	word-nie1-捏合	nie1	word	捏合	CC-CEDICT	捏合 [nie1 he2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	sentence-authored-nie4-001	nie4	short_sentence	桌上放着一把镊子	VoxFlame authored candidate	镊子 [nie4 zi5] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	sentence-authored-nie4-002	nie4	short_sentence	请用镊子夹住棉球	VoxFlame authored candidate	镊子 [nie4 zi5] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	word-nie4-镊子	nie4	word	镊子	CC-CEDICT	镊子 [nie4 zi5] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	sentence-345277	peng1	short_sentence	这些苹果宜于烹饪。	Tatoeba	烹饪 [peng1 ren4] (CC-CEDICT whole-word reading)	pending	pending	pending	pending	pending	pending			
5	sentence-433470	peng1	short_sentence	她打算去烹饪学校上几堂课。	Tatoeba	烹饪 [peng1 ren4] (CC-CEDICT whole-word reading)	pending	pending	pending	pending	pending	pending			
5	word-peng1-烹饪	peng1	word	烹饪	CC-CEDICT	烹饪 [peng1 ren4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	sentence-authored-piao3-001	piao3	short_sentence	这块白布需要漂白	VoxFlame authored candidate	漂白 [piao3 bai2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	sentence-authored-piao3-002	piao3	short_sentence	漂白剂放在柜子里	VoxFlame authored candidate	漂白剂 [piao3 bai2 ji4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	word-piao3-漂白	piao3	word	漂白	CC-CEDICT	漂白 [piao3 bai2] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
5	sentence-authored-pie1-001	pie1	short_sentence	我刚才瞥见了他	VoxFlame authored candidate	瞥见 [pie1 jian4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
6	sentence-authored-pie1-002	pie1	short_sentence	我在人群中瞥见朋友	VoxFlame authored candidate	瞥见 [pie1 jian4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
6	word-pie1-瞥见	pie1	word	瞥见	CC-CEDICT	瞥见 [pie1 jian4] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
6	sentence-4117357	pie3	short_sentence	我是右撇子。	Tatoeba	右撇子 [you4 pie3 zi5] (CC-CEDICT whole-word reading)	pending	pending	pending	pending	pending	pending			
6	sentence-832799	pie3	short_sentence	我是左撇子。	Tatoeba	左撇子 [zuo3 pie3 zi5] (CC-CEDICT whole-word reading)	pending	pending	pending	pending	pending	pending			
6	word-pie3-左撇子	pie3	word	左撇子	CC-CEDICT	左撇子 [zuo3 pie3 zi5] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
6	sentence-authored-po0-001	po0	short_sentence	婆婆正在阳台浇花	VoxFlame authored candidate	婆婆 [po2 po5] (CC-CEDICT)	pending	pending	pending	pending	pending	pending			
